Customer ID,Loan Sanction Amount (USD)
C-22581,55471.27
C-17470,78636.31
C-35562,0.0
C-21391,30273.4
C-2036,69891.99
C-487,23059.63
C-49534,0.0
C-27793,84157.24
C-47718,24585.01
C-28840,0.0
C-36903,166948.72
C-12478,17736.12
C-5497,72198.25
C-19291,24124.92
C-37414,0.0
C-27189,53194.4
C-23974,0.0
C-37756,0.0
C-6994,17463.21
C-26676,1995.91
C-18336,24367.57
C-39249,53334.08
C-46594,72614.91
C-46668,40314.91
C-31182,21276.44
C-33649,0.0
C-795,27318.19
C-41864,16761.42
C-27099,171259.72
C-13217,14949.54
C-27941,36255.86
C-26999,54393.76
C-19798,61780.42
C-872,5874.7
C-42696,0.0
C-4207,47540.25
C-5977,40253.52
C-37417,59165.95
C-27520,105547.24
C-28968,42420.45
C-7218,101244.7
C-9926,135580.07
C-6283,13993.56
C-28564,193921.73
C-7458,44836.94
C-23936,78268.8
C-15056,46696.93
C-48332,0.0
C-5285,75999.01
C-22261,12067.58
C-6649,71127.33
C-39775,90116.75
C-16672,3006.19
C-22949,36567.63
C-33264,0.0
C-18411,11625.76
C-2981,25009.86
C-25486,30608.21
C-20743,53120.87
C-43852,86352.62
C-33935,0.0
C-12280,171946.71
C-7324,0.0
C-10229,53118.07
C-29096,86356.43
C-7146,55354.76
C-48092,0.0
C-7802,9323.59
C-41995,63054.84
C-24558,0.0
C-41069,55386.29
C-49771,16173.64
C-14429,24931.07
C-36459,40803.64
C-595,11050.93
C-37861,24318.17
C-5702,30290.87
C-48665,0.0
C-44788,0.0
C-41968,0.0
C-28021,26651.31
C-49046,64834.62
C-48198,0.0
C-2224,38120.46
C-29812,0.0
C-28119,24335.81
C-33458,21199.19
C-31298,37888.43
C-42213,0.0
C-45134,0.0
C-18790,38296.47
C-8651,38023.37
C-34551,84549.23
C-46838,2094.13
C-45834,0.0
C-23656,54098.75
C-35479,53398.24
C-9171,102112.55
C-32795,138366.78
C-39761,19920.4
C-6842,21737.44
C-1477,144936.2
C-29391,11234.5
C-36372,56437.9
C-3050,10807.58
C-24135,0.0
C-17657,103949.84
C-22379,61664.52
C-48251,50572.51
C-47996,0.0
C-46600,0.0
C-24183,28681.65
C-39134,180239.05
C-3569,75615.77
C-44734,0.0
C-26917,41770.38
C-43369,198540.74
C-16973,80039.46
C-10007,3034.87
C-45821,0.0
C-22286,32674.7
C-26486,42318.54
C-4785,68176.63
C-41874,0.0
C-40217,176038.88
C-21423,47283.02
C-42449,0.0
C-34243,100627.31
C-3917,143346.23
C-33066,74935.43
C-2723,4600.67
C-8412,91762.04
C-9722,16784.6
C-38320,42183.07
C-29676,16580.34
C-27298,50798.27
C-31654,20896.64
C-13695,19673.63
C-25086,0.0
C-44465,0.0
C-21654,64857.51
C-41060,110480.7
C-49595,3128.78
C-6280,97233.32
C-14434,21417.25
C-35331,39257.72
C-22482,57293.32
C-39569,47589.85
C-7791,59261.54
C-41802,185167.72
C-39667,31501.06
C-12376,48561.42
C-40906,85207.08
C-38890,19946.37
C-37476,69647.54
C-44946,0.0
C-44451,18428.57
C-37113,173849.13
C-29497,18896.32
C-19756,10599.94
C-10272,23035.03
C-32834,132202.87
C-23725,67770.9
C-10753,0.0
C-17104,7616.86
C-19153,50949.18
C-17340,16665.89
C-43187,0.0
C-49532,0.0
C-9014,0.0
C-19519,67530.31
C-46047,0.0
C-32269,17516.93
C-808,13240.73
C-25924,18797.13
C-39832,53233.48
C-9670,73544.98
C-44243,32996.66
C-32273,10220.82
C-38474,82070.33
C-3098,130894.94
C-1113,115565.14
C-48460,49748.29
C-14158,0.0
C-16411,122657.92
C-26187,115808.92
C-47185,55260.82
C-5417,61229.2
C-43392,10851.51
C-13685,176131.3
C-18903,33516.25
C-44156,0.0
C-28524,17423.51
C-5184,45745.91
C-45033,49357.94
C-45354,58597.91
C-41123,30364.54
C-14213,0.0
C-6888,34692.48
C-14104,7261.04
C-2495,29086.65
C-17057,110722.74
C-5005,41139.5
C-41297,47734.78
C-42963,0.0
C-23251,22598.06
C-23970,18701.54
C-40714,119759.0
C-38859,81287.77
C-7112,67758.33
C-18928,42744.89
C-29862,102392.78
C-30212,45327.02
C-15021,77549.12
C-7476,49357.89
C-41600,0.0
C-32173,44858.06
C-38518,31583.22
C-38801,50034.91
C-1784,102736.13
C-24927,113413.92
C-39547,79937.66
C-43215,44624.08
C-23422,0.0
C-37723,41134.54
C-29178,108877.94
C-19008,98267.53
C-5849,63470.54
C-6004,52469.78
C-23104,23434.63
C-24882,69116.92
C-43468,8245.44
C-35132,84925.29
C-42580,0.0
C-11578,26600.87
C-8678,15957.8
C-19927,0.0
C-30508,30485.19
C-44874,40131.28
C-30186,0.0
C-10760,15503.54
C-26481,68662.23
C-46111,0.0
C-32145,108978.22
C-32092,0.0
C-5752,61226.17
C-16382,77310.02
C-28591,110520.87
C-44846,0.0
C-2932,39911.52
C-36463,128359.01
C-27695,40565.77
C-40748,82352.4
C-29783,130861.63
C-49739,8495.01
C-14812,62624.77
C-17082,38593.19
C-7455,87553.37
C-19358,25168.79
C-19549,27914.73
C-2666,47880.43
C-18984,71953.84
C-13649,22352.54
C-33798,11790.83
C-10307,83961.36
C-35501,0.0
C-8935,68293.15
C-26153,10329.31
C-4606,59226.84
C-18360,0.0
C-39333,32056.22
C-12426,79788.93
C-6408,74702.43
C-28868,15080.32
C-42593,0.0
C-31808,48046.83
C-32004,42078.4
C-32204,45595.21
C-12801,89856.12
C-25815,69468.04
C-22768,59937.65
C-32048,60834.87
C-19658,22658.05
C-26891,8826.64
C-40188,0.0
C-25433,26696.86
C-10378,17405.02
C-31318,174491.21
C-15344,0.0
C-22888,0.0
C-43034,0.0
C-19211,61759.52
C-10432,0.0
C-22014,15083.29
C-18211,0.0
C-23968,14352.08
C-48530,49474.9
C-28054,0.0
C-2058,24074.78
C-34942,72013.96
C-530,42411.37
C-38117,15886.15
C-20913,28489.18
C-47070,0.0
C-26019,41644.22
C-28532,55387.2
C-46716,57858.58
C-39327,50957.7
C-7240,30368.95
C-37949,119390.2
C-2195,115960.85
C-3355,86055.22
C-19733,59789.12
C-34255,36786.18
C-49287,0.0
C-32256,100208.83
C-22180,35952.82
C-5193,48666.21
C-38427,121124.97
C-44886,1617.33
C-3791,43915.75
C-32566,58220.32
C-15243,60915.99
C-5240,48436.06
C-49218,58071.01
C-25534,0.0
C-47239,0.0
C-8774,0.0
C-16520,150762.33
C-20311,75003.08
C-3650,0.0
C-18558,30429.45
C-14820,143564.53
C-34556,131344.05
C-43883,115649.91
C-40653,33581.84
C-47621,41157.22
C-49147,64161.73
C-440,169041.29
C-11354,25280.52
C-15107,71553.49
C-24501,52317.98
C-28551,27277.18
C-28773,36223.63
C-36617,116433.6
C-28244,0.0
C-41307,127087.07
C-832,53435.11
C-8287,10378.64
C-41225,77274.37
C-13965,45750.2
C-6491,66047.36
C-10751,46079.7
C-27955,24663.14
C-29401,25432.54
C-40588,27018.75
C-41993,0.0
C-37136,134640.13
C-41702,50411.29
C-37634,51048.94
C-7102,9269.35
C-32351,20271.55
C-17461,63826.77
C-2675,14519.88
C-34452,115916.36
C-35202,47082.71
C-35085,127574.9
C-25301,42351.5
C-18247,0.0
C-26468,34873.47
C-39744,103746.63
C-39530,23994.79
C-15276,46084.13
C-27599,94652.47
C-16294,126774.51
C-45920,0.0
C-42972,65263.91
C-35739,0.0
C-48070,0.0
C-20738,68928.91
C-20164,0.0
C-35798,104324.47
C-36931,49311.03
C-40067,71626.04
C-7033,6817.07
C-2919,54256.72
C-92,0.0
C-10068,102962.94
C-30148,142710.97
C-6804,16944.46
C-41739,114929.45
C-26448,16671.64
C-5100,48840.33
C-6401,161905.14
C-14665,53121.91
C-3315,23862.2
C-20983,45124.68
C-32947,10079.48
C-13518,54345.34
C-46708,0.0
C-6592,177042.23
C-12364,20191.87
C-46390,0.0
C-7318,33799.92
C-12943,29844.54
C-2883,45971.33
C-25283,29560.38
C-1618,0.0
C-1271,10465.05
C-40127,64492.81
C-36317,28341.06
C-48952,55428.63
C-29240,83013.74
C-25093,15571.88
C-12384,48709.99
C-34319,40123.63
C-47779,0.0
C-12945,42329.28
C-36060,0.0
C-5616,0.0
C-41883,566.86
C-9039,4513.68
C-25362,91744.04
C-13744,72829.63
C-25047,191912.63
C-13036,100155.09
C-36276,17351.53
C-2811,0.0
C-21717,121774.4
C-46988,0.0
C-48564,32588.26
C-24260,46144.31
C-39925,17547.8
C-16917,121836.67
C-27996,7492.12
C-37659,41079.83
C-15746,88004.25
C-46465,0.0
C-40197,52616.3
C-39307,104825.59
C-23902,48500.34
C-19873,16862.8
C-47956,60463.62
C-13273,0.0
C-48337,105483.52
C-19271,0.0
C-37094,75125.41
C-684,60940.92
C-24481,35252.97
C-12590,94271.29
C-25151,51834.93
C-17381,39253.14
C-38274,39174.51
C-1011,71452.09
C-1000,115232.17
C-20171,24236.45
C-17936,141480.78
C-44657,0.0
C-41222,65857.5
C-42705,52854.84
C-36949,134950.47
C-17725,36017.4
C-41035,686.11
C-2207,85325.38
C-11404,43890.39
C-1537,10438.78
C-49111,96955.55
C-39701,65217.24
C-14555,21190.42
C-23018,36726.48
C-26076,52329.42
C-1292,76884.35
C-33809,19382.1
C-34753,12762.26
C-30028,71808.3
C-33662,50481.39
C-11938,53436.09
C-15030,106083.61
C-25693,130654.7
C-39706,34989.36
C-49830,0.0
C-1215,45596.46
C-22515,14485.54
C-34267,69358.11
C-31199,26243.74
C-46236,14083.86
C-16259,26248.1
C-2730,52192.06
C-17938,70403.96
C-41242,33287.0
C-378,48386.07
C-15648,0.0
C-48043,102398.03
C-3027,127186.31
C-43249,24581.56
C-26632,0.0
C-16859,68086.82
C-23573,118005.18
C-21886,0.0
C-31479,62499.5
C-37999,0.0
C-45817,84592.08
C-19011,28031.4
C-36365,28048.84
C-7416,47844.22
C-677,19458.9
C-10599,18904.5
C-1103,23562.74
C-44906,306.1
C-16804,40070.7
C-38012,35757.48
C-13987,187951.2
C-19544,100991.15
C-3349,0.0
C-38961,56843.12
C-38259,5364.21
C-3666,23581.4
C-36638,61727.74
C-18230,191333.91
C-11076,36732.77
C-31226,42071.13
C-9312,28932.27
C-10276,107743.27
C-44905,0.0
C-33369,27956.99
C-34166,32798.44
C-45310,81335.85
C-30527,123808.46
C-4627,16593.48
C-38353,130941.68
C-4974,74045.26
C-32095,1969.63
C-13549,9142.73
C-43862,0.0
C-6688,75836.67
C-5382,38034.55
C-36550,49733.26
C-721,55957.8
C-1325,117983.29
C-21418,127529.17
C-33431,22853.44
C-25465,0.0
C-6769,40883.33
C-35667,60213.3
C-22630,16760.42
C-1353,50176.75
C-15765,40455.54
C-47348,0.0
C-26798,0.0
C-1575,134748.26
C-26100,0.0
C-41279,10830.37
C-43388,0.0
C-11917,119923.21
C-6243,44937.5
C-1218,53782.85
C-20692,0.0
C-37907,45433.81
C-20591,117897.1
C-34997,24344.97
C-28405,34693.2
C-45810,13734.19
C-10134,0.0
C-9407,26195.58
C-19191,54931.39
C-15367,16612.42
C-44513,70999.34
C-34160,26204.67
C-1599,42233.02
C-31067,52736.82
C-25519,47091.53
C-19761,32277.35
C-1661,103598.6
C-2525,44052.99
C-25450,18867.26
C-34833,23410.44
C-8560,0.0
C-20590,26502.9
C-9890,94777.54
C-3415,9038.47
C-7271,31848.35
C-948,19650.66
C-2910,92910.23
C-16054,33802.51
C-21243,16240.87
C-22407,139625.66
C-46383,0.0
C-48914,0.0
C-16529,0.0
C-24655,0.0
C-1926,107940.78
C-32783,64286.85
C-30296,26467.69
C-23621,69018.95
C-35554,3234.66
C-46261,37698.29
C-34107,31875.91
C-42655,0.0
C-39873,45333.8
C-17191,0.0
C-23048,75447.61
C-33498,23233.21
C-906,32869.75
C-7234,23403.55
C-18364,36049.44
C-4434,71934.08
C-23245,137850.73
C-17033,129021.13
C-2814,86631.66
C-39554,59739.28
C-24123,39374.9
C-7293,0.0
C-41615,15673.29
C-4869,39278.65
C-2885,45028.69
C-18098,85469.37
C-8981,105618.84
C-15668,0.0
C-2158,76003.83
C-47085,15809.67
C-29563,14566.7
C-6396,14109.56
C-27245,35849.31
C-9571,9037.69
C-13085,53730.32
C-32744,17890.0
C-49207,0.0
C-2573,131117.22
C-42732,0.0
C-32858,41593.64
C-14529,13439.2
C-7709,48985.93
C-24245,200417.15
C-28155,78482.17
C-9237,73335.47
C-20896,0.0
C-29529,43100.26
C-49272,8774.05
C-3094,105202.1
C-4211,25835.91
C-40530,61681.44
C-26341,78983.02
C-42206,80521.46
C-31908,32321.11
C-40632,916.49
C-14432,61375.42
C-1169,16792.33
C-29803,65489.02
C-8662,162912.08
C-11102,43426.71
C-30954,25587.03
C-48216,0.0
C-34932,26457.21
C-16705,0.0
C-20735,27065.33
C-10662,14295.56
C-6235,115893.74
C-20782,55976.24
C-44827,147074.05
C-33580,100926.09
C-4046,32336.54
C-15992,81029.26
C-12605,99323.15
C-23469,0.0
C-16923,24258.96
C-41969,31533.66
C-5294,48559.93
C-27875,43013.02
C-1197,61056.58
C-49768,0.0
C-2251,0.0
C-33006,14200.81
C-26789,22785.4
C-30239,21488.86
C-26818,136767.12
C-1901,0.0
C-23518,32469.64
C-7565,86403.9
C-27349,17528.93
C-11188,105858.69
C-8581,139827.05
C-25313,69289.88
C-14905,22994.68
C-34147,29489.14
C-19991,55062.05
C-44,59398.14
C-37087,103146.48
C-22924,25655.28
C-33444,38634.05
C-3520,116738.46
C-34874,22368.46
C-24759,118824.4
C-5163,31381.61
C-24438,29435.57
C-39224,32368.84
C-2862,42310.72
C-9322,92842.75
C-14479,10484.76
C-22571,10991.74
C-33363,16500.1
C-42425,0.0
C-12100,40094.48
C-48101,0.0
C-4800,54231.24
C-37439,102340.52
C-18640,28702.82
C-37478,46176.96
C-45410,49153.86
C-23721,53881.78
C-20805,103327.81
C-4203,47468.96
C-31016,30326.15
C-35333,7492.51
C-27054,24098.39
C-33869,16089.37
C-5611,106385.08
C-28015,58176.22
C-7157,123655.21
C-47876,0.0
C-45609,0.0
C-46711,64356.83
C-37894,51607.17
C-18639,71257.56
C-39707,44736.42
C-36104,175573.2
C-13946,95236.97
C-11258,199421.78
C-43994,0.0
C-43714,0.0
C-47433,13029.26
C-35828,29180.32
C-24589,23998.37
C-38955,16145.4
C-14097,39735.25
C-41681,57932.82
C-30975,43611.29
C-42577,0.0
C-36919,16521.83
C-24623,17394.14
C-1994,14405.85
C-47518,0.0
C-48910,0.0
C-27267,18504.23
C-48509,106978.73
C-33108,114074.34
C-36352,45211.7
C-42408,19001.84
C-44763,0.0
C-44429,43266.38
C-14203,54820.07
C-26258,34313.11
C-7597,46787.19
C-29895,53963.77
C-1519,60017.03
C-37590,106794.49
C-18931,157586.43
C-10989,67769.72
C-5345,61948.68
C-28087,21347.46
C-3593,44262.91
C-21482,63884.52
C-36998,33223.77
C-29828,30396.23
C-8924,108173.38
C-18318,49203.9
C-28919,12928.26
C-6300,172275.8
C-19045,0.0
C-47244,0.0
C-3813,0.0
C-9410,53734.82
C-18688,0.0
C-28819,3895.41
C-37548,6524.2
C-17576,36466.05
C-41448,58541.4
C-44453,0.0
C-47121,47068.75
C-18644,109805.68
C-31096,39659.32
C-4325,32577.12
C-11150,3747.25
C-47399,0.0
C-11854,125371.97
C-9960,24370.31
C-6389,61425.07
C-36965,0.0
C-17652,18419.93
C-49875,16760.21
C-9387,79191.72
C-36141,20204.46
C-31672,41359.7
C-31174,90764.55
C-39123,45643.02
C-36981,57214.57
C-38636,65809.46
C-19146,9096.57
C-1646,21424.05
C-12204,89407.18
C-3963,14691.13
C-48599,88212.81
C-40535,128926.47
C-49003,39211.94
C-25917,21998.38
C-27572,158104.44
C-8879,95138.88
C-12492,76215.4
C-33357,99345.39
C-6624,59671.16
C-15322,39296.28
C-36286,19518.81
C-44449,0.0
C-45203,0.0
C-27721,115331.7
C-12668,52095.92
C-38966,70041.69
C-1827,93865.61
C-5576,35122.43
C-21883,27687.76
C-18490,21334.19
C-2551,17744.3
C-29081,28840.51
C-27653,49529.32
C-23738,38980.42
C-33181,15532.97
C-17872,85581.61
C-36224,40937.31
C-9959,7646.3
C-15142,22933.5
C-23480,104980.7
C-28252,47404.04
C-47180,0.0
C-3908,0.0
C-20072,68190.05
C-3490,20858.71
C-45924,128343.06
C-18345,60209.92
C-21890,205084.86
C-13936,42310.3
C-30976,16334.68
C-38402,47648.12
C-4704,136937.46
C-24827,38016.2
C-311,0.0
C-12006,191985.77
C-21646,35311.27
C-17666,83373.57
C-8625,14595.6
C-45906,45031.59
C-14530,78024.35
C-15904,69386.18
C-24650,56317.95
C-33618,119238.11
C-14982,44242.73
C-18535,29876.61
C-47517,15520.83
C-41714,18633.24
C-44540,42906.82
C-38287,0.0
C-43591,0.0
C-3750,65878.92
C-10123,73697.89
C-29823,56349.47
C-706,37399.42
C-43771,0.0
C-30935,7164.47
C-9409,24041.63
C-32052,0.0
C-21291,57412.56
C-12533,9238.11
C-45066,47821.94
C-18952,19998.7
C-33598,0.0
C-41516,21696.85
C-20630,91601.0
C-40828,46782.41
C-23090,90976.76
C-36146,33254.23
C-30167,59119.68
C-10,28616.1
C-42182,20466.76
C-7259,0.0
C-32266,36111.18
C-41613,28645.5
C-28771,0.0
C-10650,63514.43
C-33635,21589.98
C-8473,115338.07
C-26093,20411.75
C-10401,19443.92
C-9256,0.0
C-22384,17716.25
C-45099,0.0
C-22137,22100.01
